Date;Euro
21/03/2023 23:00:00;€ € 93,71
21/03/2023 22:00:00;€ € 103,33
21/03/2023 21:00:00;€ € 112,01
21/03/2023 20:00:00;€ € 146,38
21/03/2023 19:00:00;€ € 143,50
21/03/2023 18:00:00;€ € 132,37
21/03/2023 17:00:00;€ € 113,37
21/03/2023 16:00:00;€ € 101,52
21/03/2023 15:00:00;€ € 98,53
21/03/2023 14:00:00;€ € 98,64
21/03/2023 13:00:00;€ € 99,72
21/03/2023 12:00:00;€ € 102,12
21/03/2023 11:00:00;€ € 106,81
21/03/2023 10:00:00;€ € 115,04
21/03/2023 9:00:00;€ € 128,58
21/03/2023 8:00:00;€ € 143,52
21/03/2023 7:00:00;€ € 145,54
21/03/2023 6:00:00;€ € 129,91
21/03/2023 5:00:00;€ € 118,21
21/03/2023 4:00:00;€ € 110,00
21/03/2023 3:00:00;€ € 108,65
21/03/2023 2:00:00;€ € 111,56
21/03/2023 1:00:00;€ € 112,28
21/03/2023 0:00:00;€ € 120,79