afname zonder bat;injectie zonder bat;timestamp
0,01433;0,00000;9/05/2023 0:03
0,01433;0,00000;9/05/2023 0:08
0,01433;0,00000;9/05/2023 0:13
0,01308;0,00000;9/05/2023 0:18
0,01308;0,00000;9/05/2023 0:23
0,01308;0,00000;9/05/2023 0:28
0,01275;0,00000;9/05/2023 0:33
0,01275;0,00000;9/05/2023 0:38
0,01275;0,00000;9/05/2023 0:43
0,01542;0,00000;9/05/2023 0:48
0,01442;0,00000;9/05/2023 0:53
0,01442;0,00000;9/05/2023 0:58
0,01158;0,00000;9/05/2023 1:03
0,01158;0,00000;9/05/2023 1:08
0,01158;0,00000;9/05/2023 1:13
0,01167;0,00000;9/05/2023 1:18
0,01167;0,00000;9/05/2023 1:23
0,01167;0,00000;9/05/2023 1:28
0,00992;0,00000;9/05/2023 1:33
0,00992;0,00000;9/05/2023 1:38
0,01092;0,00000;9/05/2023 1:43
0,00983;0,00000;9/05/2023 1:48
0,01083;0,00000;9/05/2023 1:53
0,00983;0,00000;9/05/2023 1:58
0,01942;0,00000;9/05/2023 2:03
0,01942;0,00000;9/05/2023 2:08
0,02042;0,00000;9/05/2023 2:13
0,01567;0,00000;9/05/2023 2:18
0,01567;0,00000;9/05/2023 2:23
0,01667;0,00000;9/05/2023 2:28
0,01317;0,00000;9/05/2023 2:33
0,01317;0,00000;9/05/2023 2:38
0,01317;0,00000;9/05/2023 2:43
0,01325;0,00000;9/05/2023 2:48
0,01425;0,00000;9/05/2023 2:53
0,01325;0,00000;9/05/2023 2:58
0,01317;0,00000;9/05/2023 3:03
0,01317;0,00000;9/05/2023 3:08
0,01317;0,00000;9/05/2023 3:13
0,01208;0,00000;9/05/2023 3:18
0,01308;0,00000;9/05/2023 3:23
0,01208;0,00000;9/05/2023 3:28
0,01467;0,00000;9/05/2023 3:33
0,01467;0,00000;9/05/2023 3:38
0,01567;0,00000;9/05/2023 3:43
0,01500;0,00000;9/05/2023 3:48
0,01500;0,00000;9/05/2023 3:53
0,01500;0,00000;9/05/2023 3:58
0,01267;0,00000;9/05/2023 4:03
0,01267;0,00000;9/05/2023 4:08
0,01367;0,00000;9/05/2023 4:13
0,01008;0,00000;9/05/2023 4:18
0,01008;0,00000;9/05/2023 4:23
0,01108;0,00000;9/05/2023 4:28
0,00917;0,00000;9/05/2023 4:33
0,00817;0,00000;9/05/2023 4:38
0,00817;0,00000;9/05/2023 4:43
0,00967;0,00000;9/05/2023 4:48
0,00967;0,00000;9/05/2023 4:53
0,00967;0,00000;9/05/2023 4:58
0,01042;0,00000;9/05/2023 5:03
0,00942;0,00000;9/05/2023 5:08
0,00942;0,00000;9/05/2023 5:13
0,00983;0,00000;9/05/2023 5:18
0,00983;0,00000;9/05/2023 5:23
0,00983;0,00000;9/05/2023 5:28
0,01225;0,00000;9/05/2023 5:34
0,01125;0,00000;9/05/2023 5:39
0,01125;0,00000;9/05/2023 5:44
0,01550;0,00000;9/05/2023 5:49
0,01450;0,00000;9/05/2023 5:54
0,01450;0,00000;9/05/2023 5:59
0,01417;0,00000;9/05/2023 6:04
0,01317;0,00000;9/05/2023 6:09
0,01317;0,00000;9/05/2023 6:14
0,01125;0,00000;9/05/2023 6:19
0,01125;0,00000;9/05/2023 6:24
0,01125;0,00000;9/05/2023 6:29
0,00850;0,00000;9/05/2023 6:34
0,00850;0,00000;9/05/2023 6:39
0,00850;0,00000;9/05/2023 6:44
0,00692;0,00000;9/05/2023 6:49
0,00992;0,00100;9/05/2023 6:54
0,00692;0,00000;9/05/2023 6:59
0,00800;0,00000;9/05/2023 7:04
0,00800;0,00000;9/05/2023 7:09
0,01200;0,00100;9/05/2023 7:14
0,03950;0,00300;9/05/2023 7:19
0,03450;0,00000;9/05/2023 7:24
0,03450;0,00000;9/05/2023 7:29
0,00000;0,00100;9/05/2023 7:34
0,00000;0,00000;9/05/2023 7:39
0,00000;0,00100;9/05/2023 7:44
0,00283;0,00000;9/05/2023 7:49
0,00283;0,00000;9/05/2023 7:54
0,00283;0,00000;9/05/2023 7:59
0,00300;0,00100;9/05/2023 8:04
0,00000;0,00000;9/05/2023 8:09
0,06200;0,00300;9/05/2023 8:14
0,16233;0,00000;9/05/2023 8:19
0,15333;0,00500;9/05/2023 8:24
0,08333;0,02300;9/05/2023 8:29
0,00000;0,03500;9/05/2023 8:34
0,00000;0,03300;9/05/2023 8:39
0,00000;0,04100;9/05/2023 8:44
0,00000;0,04458;9/05/2023 8:49
0,03600;0,01458;9/05/2023 8:54
0,03800;0,00458;9/05/2023 8:59
0,12542;0,02400;9/05/2023 9:04
0,08342;0,05000;9/05/2023 9:09
0,08342;0,05200;9/05/2023 9:14
0,00000;0,06150;9/05/2023 9:19
0,00000;0,06050;9/05/2023 9:24
0,00000;0,05850;9/05/2023 9:29
0,00000;0,05900;9/05/2023 9:34
0,00000;0,06100;9/05/2023 9:39
0,00000;0,05900;9/05/2023 9:44
0,00000;0,05875;9/05/2023 9:49
0,00000;0,06275;9/05/2023 9:54
0,00000;0,06475;9/05/2023 9:59
0,00000;0,06217;9/05/2023 10:04
0,00000;0,06117;9/05/2023 10:09
0,00000;0,06117;9/05/2023 10:14
0,00000;0,06233;9/05/2023 10:19
0,00000;0,05733;9/05/2023 10:24
0,00000;0,05933;9/05/2023 10:29
0,00800;0,04183;9/05/2023 10:34
0,00200;0,03983;9/05/2023 10:39
0,00000;0,06083;9/05/2023 10:44
0,00000;0,07358;9/05/2023 10:49
0,00000;0,07058;9/05/2023 10:54
0,00000;0,07458;9/05/2023 10:59
0,00000;0,07283;9/05/2023 11:04
0,00000;0,06983;9/05/2023 11:09
0,00000;0,07083;9/05/2023 11:14
0,00000;0,06250;9/05/2023 11:19
0,00000;0,06150;9/05/2023 11:24
0,00000;0,07350;9/05/2023 11:29
0,00000;0,08450;9/05/2023 11:34
0,00000;0,08750;9/05/2023 11:39
0,00000;0,08750;9/05/2023 11:44
0,00000;0,08700;9/05/2023 11:49
0,00000;0,08300;9/05/2023 11:54
0,00000;0,07300;9/05/2023 11:59
0,00000;0,06675;9/05/2023 12:04
0,00000;0,06475;9/05/2023 12:09
0,00000;0,07175;9/05/2023 12:14
0,00000;0,08742;9/05/2023 12:19
0,00000;0,08042;9/05/2023 12:24
0,00000;0,08342;9/05/2023 12:29
0,00000;0,09508;9/05/2023 12:34
0,00000;0,09608;9/05/2023 12:39
0,00000;0,08808;9/05/2023 12:44
0,00000;0,08917;9/05/2023 12:49
0,00900;0,07217;9/05/2023 12:54
0,00600;0,07917;9/05/2023 12:59
0,00000;0,08142;9/05/2023 13:04
0,00000;0,08242;9/05/2023 13:09
0,00300;0,05642;9/05/2023 13:14
0,02125;0,00000;9/05/2023 13:19
0,04725;0,01300;9/05/2023 13:24
0,02725;0,06300;9/05/2023 13:29
0,00000;0,08308;9/05/2023 13:34
0,00000;0,08908;9/05/2023 13:39
0,00000;0,08208;9/05/2023 13:44
0,00000;0,06542;9/05/2023 13:49
0,00000;0,06442;9/05/2023 13:54
0,00000;0,08142;9/05/2023 13:59
0,00500;0,06808;9/05/2023 14:04
0,00200;0,02408;9/05/2023 14:09
0,00000;0,06608;9/05/2023 14:14
0,00000;0,08625;9/05/2023 14:19
0,00000;0,07925;9/05/2023 14:24
0,00000;0,07925;9/05/2023 14:29
0,00000;0,06833;9/05/2023 14:34
0,00800;0,03833;9/05/2023 14:39
0,00200;0,01433;9/05/2023 14:44
0,06067;0,00000;9/05/2023 14:49
0,07967;0,00400;9/05/2023 14:54
0,06167;0,00600;9/05/2023 14:59
0,00900;0,04950;9/05/2023 15:04
0,05200;0,03750;9/05/2023 15:09
0,03300;0,03950;9/05/2023 15:14
0,01100;0,06558;9/05/2023 15:19
0,02000;0,05258;9/05/2023 15:24
0,03200;0,06058;9/05/2023 15:29
0,02700;0,02800;9/05/2023 15:34
0,01500;0,02200;9/05/2023 15:39
0,01900;0,03000;9/05/2023 15:44
0,00000;0,06642;9/05/2023 15:49
0,00000;0,06542;9/05/2023 15:54
0,00000;0,06442;9/05/2023 15:59
0,00000;0,05792;9/05/2023 16:04
0,00000;0,05992;9/05/2023 16:09
0,00000;0,05992;9/05/2023 16:14
0,00000;0,06142;9/05/2023 16:19
0,00000;0,05442;9/05/2023 16:24
0,00000;0,05342;9/05/2023 16:29
0,00000;0,03900;9/05/2023 16:34
0,00000;0,03900;9/05/2023 16:39
0,00000;0,03100;9/05/2023 16:44
0,00000;0,04467;9/05/2023 16:49
0,00000;0,04367;9/05/2023 16:54
0,00000;0,04267;9/05/2023 16:59
0,00000;0,04742;9/05/2023 17:04
0,00000;0,04642;9/05/2023 17:09
0,00000;0,04642;9/05/2023 17:14
0,00000;0,04158;9/05/2023 17:19
0,00000;0,03558;9/05/2023 17:24
0,00000;0,03658;9/05/2023 17:29
0,00000;0,04300;9/05/2023 17:34
0,00000;0,04500;9/05/2023 17:39
0,00000;0,05000;9/05/2023 17:44
0,00000;0,04800;9/05/2023 17:49
0,00000;0,04100;9/05/2023 17:54
0,00000;0,04400;9/05/2023 17:59
0,03400;0,03000;9/05/2023 18:04
0,13000;0,02100;9/05/2023 18:09
0,01100;0,02600;9/05/2023 18:14
0,00000;0,02800;9/05/2023 18:19
0,00000;0,02500;9/05/2023 18:24
0,00000;0,02100;9/05/2023 18:29
0,00000;0,02000;9/05/2023 18:34
0,00300;0,01400;9/05/2023 18:39
0,00700;0,00800;9/05/2023 18:44
0,02200;0,01300;9/05/2023 18:49
0,02400;0,01500;9/05/2023 18:54
0,01400;0,01300;9/05/2023 18:59
0,23100;0,00700;9/05/2023 19:04
0,03300;0,02700;9/05/2023 19:09
0,12000;0,00900;9/05/2023 19:14
0,04850;0,01000;9/05/2023 19:19
0,01250;0,00500;9/05/2023 19:24
0,01250;0,01000;9/05/2023 19:29
0,00000;0,01000;9/05/2023 19:34
0,00000;0,01000;9/05/2023 19:39
0,00000;0,00700;9/05/2023 19:44
0,00000;0,01100;9/05/2023 19:49
0,00000;0,01000;9/05/2023 19:54
0,00000;0,00800;9/05/2023 19:59
0,00000;0,00800;9/05/2023 20:04
0,00000;0,00700;9/05/2023 20:09
0,05200;0,00000;9/05/2023 20:14
0,12725;0,00000;9/05/2023 20:19
0,14925;0,00000;9/05/2023 20:24
0,15825;0,00000;9/05/2023 20:29
0,15933;0,00000;9/05/2023 20:34
0,16133;0,00000;9/05/2023 20:39
0,15833;0,00000;9/05/2023 20:44
0,22325;0,00000;9/05/2023 20:49
0,24525;0,00000;9/05/2023 20:54
0,24725;0,00000;9/05/2023 20:59
0,23908;0,00000;9/05/2023 21:04
0,24808;0,00000;9/05/2023 21:09
0,25008;0,00000;9/05/2023 21:14
0,25025;0,00000;9/05/2023 21:19
0,25325;0,00000;9/05/2023 21:24
0,25825;0,00000;9/05/2023 21:29
0,25425;0,00000;9/05/2023 21:34
0,25525;0,00000;9/05/2023 21:39
0,25625;0,00000;9/05/2023 21:44
0,25625;0,00000;9/05/2023 21:49
0,26025;0,00000;9/05/2023 21:54
0,25725;0,00000;9/05/2023 21:59
0,25025;0,00000;9/05/2023 22:04
0,25425;0,00000;9/05/2023 22:09
0,25525;0,00000;9/05/2023 22:14
0,25425;0,00000;9/05/2023 22:19
0,24925;0,00000;9/05/2023 22:24
0,24725;0,00000;9/05/2023 22:29
0,24633;0,00000;9/05/2023 22:34
0,24433;0,00000;9/05/2023 22:39
0,24633;0,00000;9/05/2023 22:44
0,24317;0,00000;9/05/2023 22:49
0,24217;0,00000;9/05/2023 22:54
0,24217;0,00000;9/05/2023 22:59
0,24208;0,00000;9/05/2023 23:04
0,24708;0,00000;9/05/2023 23:09
0,25908;0,00000;9/05/2023 23:14
0,23100;0,00000;9/05/2023 23:19
0,23100;0,00000;9/05/2023 23:24
0,23200;0,00000;9/05/2023 23:29
0,23200;0,00000;9/05/2023 23:34
0,23000;0,00000;9/05/2023 23:39
0,23200;0,00000;9/05/2023 23:44
0,23100;0,00000;9/05/2023 23:49
0,22900;0,00000;9/05/2023 23:54
0,22900;0,00000;9/05/2023 23:59
